DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop,CSUSHPISA_smoothed,Houses_smoothed,Cons_Material_smoothed,FEDFUNDS_smoothed,UNRATE_smoothed,EmpRate_smoothed
2003-05-01,131.735,2003,5,51034.666666666664,186649528.27930897,3.9,182.9,6.1,71.2130042732107,145.8,1.26,79.6,111278.0,65860.0,25.93,12.3,130.92233333333334,4.033333333333333,145.63333333333333,1.2566666666666666,6.0,71.32945237598561
2003-06-01,132.649,2003,6,51273.333333333336,186801069.52906,3.5,183.1,6.3,71.2150251994821,146.1,1.22,79.6,111278.0,65860.0,25.93,12.3,131.756,3.8333333333333335,145.93333333333334,1.2466666666666668,6.133333333333333,71.26855360805031
2003-07-01,133.77700000000002,2003,7,51512.0,187067405.757412,3.6,183.7,6.2,70.9892700849208,147.0,1.01,79.6,111278.0,65860.0,25.93,12.3,132.72033333333334,3.6666666666666665,146.29999999999998,1.1633333333333333,6.2,71.13909985253787
2003-08-01,134.969,2003,8,51670.0,187305250.791976,3.5,184.5,6.1,71.0030612120238,147.2,1.03,79.6,111278.0,65860.0,25.93,12.3,133.79833333333332,3.533333333333333,146.76666666666668,1.0866666666666667,6.2,71.06911883214224
2003-09-01,136.29399999999998,2003,9,51828.0,187539775.20925,3.8,185.1,6.1,70.9193816020884,149.0,1.01,79.6,111278.0,65860.0,25.93,12.3,135.01333333333332,3.633333333333333,147.73333333333332,1.0166666666666668,6.133333333333333,70.97057096634433
2003-10-01,137.531,2003,10,51986.0,187738373.134674,3.8,184.9,6.0,71.0564452689323,149.6,1.01,79.6,111278.0,65860.0,25.93,12.3,136.26466666666667,3.6999999999999997,148.6,1.0166666666666666,6.066666666666666,70.99296269434815
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187972124.74446905,4.1,185.0,5.8,71.1384442507041,150.2,1.0,79.6,111278.0,65860.0,25.93,12.3,137.53966666666668,3.9,149.6,1.0066666666666666,5.966666666666666,71.03809037390826
2003-12-01,140.179,2003,12,52114.666666666664,188135255.079655,4.0,185.5,5.7,71.1178422448983,149.7,0.98,79.6,111278.0,65860.0,25.93,12.3,138.83466666666666,3.9666666666666663,149.83333333333334,0.9966666666666667,5.833333333333333,71.10424392151155
2004-01-01,141.64600000000002,2004,1,52179.0,187687969.207989,3.8,186.3,5.7,71.2788050684445,150.0,1.0,79.8,112000.0,65760.0,27.201,12.3,140.20633333333333,3.9666666666666663,149.96666666666667,0.9933333333333333,5.733333333333333,71.1783638546823
2004-02-01,143.192,2004,2,52275.666666666664,187875451.407649,3.7,186.7,5.6,71.2097318174438,153.4,1.01,79.8,112000.0,65760.0,27.201,12.3,141.67233333333334,3.8333333333333335,151.03333333333333,0.9966666666666667,5.666666666666667,71.20212637692886
2004-03-01,145.059,2004,3,52372.333333333336,188057722.03934503,3.6,187.1,5.8,71.0497805017363,156.5,1.0,79.8,112000.0,65760.0,27.201,12.3,143.299,3.6999999999999997,153.29999999999998,1.0033333333333332,5.7,71.1794391292082
2004-04-01,146.593,2004,4,52469.0,188320169.74652,4.0,187.4,5.6,71.1817588964935,160.1,1.0,79.8,112000.0,65760.0,27.201,12.3,144.948,3.766666666666667,156.66666666666666,1.0033333333333332,5.666666666666667,71.14709040522452
2004-05-01,148.186,2004,5,52591.0,188475810.280927,3.8,188.2,5.6,71.1320428012636,162.7,1.0,79.8,112000.0,65760.0,27.201,12.3,146.61266666666668,3.7999999999999994,159.76666666666665,1.0,5.666666666666667,71.12119406649781
2004-06-01,149.85,2004,6,52713.0,188689461.442109,3.9,188.9,5.6,71.1064500369221,162.0,1.03,79.8,112000.0,65760.0,27.201,12.3,148.20966666666666,3.9,161.6,1.01,5.6,71.14008391155973
2004-07-01,151.338,2004,7,52835.0,188840548.663347,4.5,189.1,5.5,71.3041417988805,162.2,1.26,79.8,112000.0,65760.0,27.201,12.3,149.79133333333334,4.066666666666666,162.29999999999998,1.0966666666666667,5.566666666666666,71.18087821235538
2004-08-01,152.63299999999998,2004,8,52970.666666666664,189071374.975358,4.3,189.2,5.4,71.2647844339153,165.9,1.43,79.8,112000.0,65760.0,27.201,12.3,151.27366666666668,4.233333333333333,163.36666666666667,1.24,5.5,71.22512542323929
2004-09-01,154.179,2004,9,53106.333333333336,189217846.455663,4.1,189.8,5.4,71.1521590896717,167.2,1.61,79.8,112000.0,65760.0,27.201,12.3,152.71666666666667,4.3,165.1,1.4333333333333333,5.433333333333334,71.24036177415583
2004-10-01,155.75,2004,10,53242.0,189444673.04673,3.9,190.8,5.5,71.2242018310224,165.9,1.76,79.8,112000.0,65760.0,27.201,12.3,154.18733333333333,4.1,166.33333333333334,1.5999999999999999,5.433333333333334,71.21371511820314
2004-11-01,157.52700000000002,2004,11,53401.0,189654575.518692,4.3,191.7,5.4,71.3634636791387,165.5,1.93,79.8,112000.0,65760.0,27.201,12.3,155.81866666666667,4.1000000000000005,166.20000000000002,1.7666666666666668,5.433333333333334,71.24660819994426
2004-12-01,159.33,2004,12,53560.0,189810239.240583,4.1,191.7,5.4,71.299925268726,166.3,2.16,79.8,112000.0,65760.0,27.201,12.3,157.53566666666669,4.1000000000000005,165.9,1.95,5.433333333333334,71.29586359296236
2005-01-01,161.28799999999998,2005,1,53719.0,189989658.14832905,4.4,191.6,5.3,71.3102675167279,168.6,2.28,79.9,113343.0,66780.0,27.651,12.4,159.3816666666667,4.266666666666667,166.8,2.1233333333333335,5.366666666666667,71.3245521548642
2005-02-01,163.344,2005,2,53768.666666666664,190144268.613114,4.3,192.4,5.4,71.2244624805278,170.4,2.5,79.9,113343.0,66780.0,27.651,12.4,161.32066666666665,4.266666666666667,168.4333333333333,2.313333333333333,5.366666666666667,71.2782184219939
2005-03-01,165.812,2005,3,53818.333333333336,190460460.091305,4.1,193.1,5.2,71.2654065284129,170.0,2.63,79.9,113343.0,66780.0,27.651,12.4,163.4813333333333,4.266666666666667,169.66666666666666,2.4699999999999998,5.3,71.26671217522288
2005-04-01,167.50099999999998,2005,4,53868.0,190466068.157388,4.3,193.7,5.2,71.4366437737022,170.0,2.79,79.9,113343.0,66780.0,27.651,12.4,165.55233333333334,4.233333333333333,170.13333333333333,2.64,5.266666666666667,71.30883759421431
